"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2023","214.70","209.80","218.79","209.60","791.11K","2.34%"
"10/15/2023","209.80","206.60","210.20","206.40","373.51K","1.55%"
"10/14/2023","206.60","206.00","207.10","205.70","145.74K","0.29%"
"10/13/2023","206.00","205.30","208.10","204.31","339.61K","0.34%"
"10/12/2023","205.30","206.59","207.08","203.01","372.65K","-0.63%"
"10/11/2023","206.59","208.50","208.80","204.60","413.46K","-0.92%"
"10/10/2023","208.50","205.80","210.87","205.70","593.77K","1.31%"
"10/09/2023","205.80","211.40","212.20","202.99","586.60K","-2.65%"
"10/08/2023","211.40","212.30","212.70","209.11","231.46K","-0.42%"
"10/07/2023","212.30","213.40","213.80","211.50","129.45K","-0.52%"
"10/06/2023","213.40","210.70","214.40","210.20","261.99K","1.28%"
"10/05/2023","210.70","213.40","213.80","210.30","263.71K","-1.17%"
"10/04/2023","213.20","213.50","213.70","210.80","334.58K","-0.14%"
"10/03/2023","213.50","214.60","215.80","212.70","303.08K","-0.51%"
"10/02/2023","214.60","218.00","221.40","213.11","580.04K","-1.56%"
"10/01/2023","218.00","214.50","219.20","213.20","420.80K","1.63%"
"09/30/2023","214.50","215.20","216.40","214.30","181.72K","-0.32%"
"09/29/2023","215.20","215.00","217.49","214.30","377.76K","0.09%"
"09/28/2023","215.00","212.00","216.90","211.60","401.79K","1.41%"
"09/27/2023","212.00","212.60","216.00","210.60","416.66K","-0.28%"
"09/26/2023","212.60","210.00","213.60","209.70","289.38K","1.24%"
"09/25/2023","210.00","208.30","210.50","207.00","278.85K","0.82%"
"09/24/2023","208.30","210.50","211.20","207.01","189.72K","-1.05%"
"09/23/2023","210.50","211.00","211.60","209.90","120.47K","-0.24%"
"09/22/2023","211.00","210.80","212.10","209.80","242.74K","0.09%"
"09/21/2023","210.80","214.30","215.10","209.21","422.87K","-1.64%"
"09/20/2023","214.30","217.20","217.80","213.50","380.15K","-1.33%"
"09/19/2023","217.20","216.00","219.60","215.50","355.33K","0.56%"
"09/18/2023","216.00","216.40","221.20","215.20","610.23K","-0.18%"
"09/17/2023","216.40","214.90","216.70","213.40","336.71K","0.70%"
"09/16/2023","214.90","214.10","215.80","213.40","293.31K","0.37%"
"09/15/2023","214.10","212.20","215.00","211.10","317.44K","0.90%"
"09/14/2023","212.20","212.60","214.90","211.20","362.54K","-0.19%"
"09/13/2023","212.60","210.80","213.20","209.30","309.62K","0.90%"
"09/12/2023","210.70","206.20","213.80","205.10","534.62K","2.18%"
"09/11/2023","206.20","212.40","212.70","204.19","590.56K","-2.92%"
"09/10/2023","212.40","214.10","214.30","211.31","287.17K","-0.80%"
"09/09/2023","214.10","214.70","215.40","214.10","97.33K","-0.28%"
"09/08/2023","214.70","217.10","218.40","213.40","242.28K","-1.11%"
"09/07/2023","217.10","215.20","217.80","213.60","253.37K","0.88%"
"09/06/2023","215.20","214.60","218.04","212.20","308.24K","0.28%"
"09/05/2023","214.60","215.20","216.00","213.60","249.61K","-0.28%"
"09/04/2023","215.20","214.40","216.49","213.10","313.83K","0.42%"
"09/03/2023","214.30","214.50","215.10","213.20","172.57K","-0.09%"
"09/02/2023","214.50","213.70","215.69","213.00","212.81K","0.37%"
"09/01/2023","213.70","216.80","218.00","211.42","475.08K","-1.38%"
